"","AuctionID","Name","Rank","Region","Forest","District","Acres","Salvage","Method.of.Sale","Sale.Size","Species","Road.Construction","Haul","num_bidders","log_amount","log_value"
"1",2,"GRANITE LUMBER CO.",1,1,2,1,3796,"N","S",7,93,100,50,3,17.5058462013198,10.1006156166471
"2",2,"DEL CONNER LUMBER CO.",2,1,2,1,3796,"N","S",7,93,100,50,3,17.4807282679603,10.1006156166471
"3",2,"F.H. STOLTZE LAND & LBR.",3,1,2,1,3796,"N","S",7,93,100,50,3,17.4564534459903,10.1006156166471
"4",3,"F.H. STOLTZE LAND & LUMBE",1,1,2,1,1560,"N","S",5,108,0,33,1,12.8641106489766,10.1006156166471
"5",4,"F.H. STOLTZE L & L CO.,IN",1,1,2,2,2458,"N","S",5,108,0,54,1,13.1687506569575,10.2016643620805
"6",5,"F.H. STOLTZE L&L CO. INC.",1,1,2,2,5200,"N","S",5,108,0,60,1,14.3191907135694,10.1006156166471
"7",6,"THOMAS BROS.",1,1,2,3,250,"N","S",5,108,0,55,2,13.67244702132,10.0838488559549
"8",6,"F.H. STOLTZE LAND & LUMBE",2,1,2,3,250,"N","S",5,108,0,55,2,13.6411571708195,10.0838488559549
"9",7,"WILKE BROS. SAWMILL, INC.",1,1,2,3,500,"N","S",5,108,0,48,1,14.5426151053089,10.1006156166471
"10",8,"THOMAS BROS., INC.",1,1,2,3,600,"N","S",5,108,0,79,2,12.9306918455076,10.1006156166471
"11",8,"STOLTZE LAND & LBR. CO, I",2,1,2,3,600,"N","S",5,108,0,79,2,12.7173981443378,10.1006156166471
"12",9,"DEL CONNER LBR. CO., INC.",2,1,2,3,350,"N","S",5,19,0,55,3,15.1718357976732,10.1006156166471
"13",9,"STOLTZE LAND & LMBR. CO.",3,1,2,3,350,"N","S",5,19,0,55,3,15.0159210246934,10.1006156166471
"14",9,"CHAMPION INTERNATIONAL, I",1,1,2,3,350,"N","S",5,19,0,55,3,15.2639601336515,10.1006156166471
"15",10,"STOLTZE LAND & LUMBER CO.",1,1,2,3,75,"N","S",5,108,0,73,1,13.3729820081187,10.1006977218238
"16",11,"STOLTZE LAND & LMBR CO.",1,1,2,3,200,"N","S",5,108,0,51,2,13.2746620576242,10.1006156166471
"17",11,"DEL CONNER LBR. INC.",2,1,2,3,200,"N","S",5,108,0,51,2,13.1198061103825,10.1006156166471
"18",14,"F.H. STOLTZE LAND&LUMBER",1,1,2,7,390,"N","S",5,108,0,89,1,14.6924157631041,10.1784642524904
"19",15,"F.H. STOLTZE LAND&LUMBER",1,1,2,7,426,"Y","S",5,204,5,83,1,15.4212014591114,10.1804751423224
"20",16,"DEL CONNER LUMBER, INC.",4,1,3,1,1500,"N","S",7,17,0,43,5,17.1785978894586,9.93479240236454
"21",16,"MARTIN & MOREY FOREST MGM",3,1,3,1,1500,"N","S",7,17,0,43,5,17.1819712117019,9.93479240236454
"22",16,"CROMAN, INC.",5,1,3,1,1500,"N","S",7,17,0,43,5,16.9685354274965,9.93479240236454
"23",16,"ERICKSON AIR CRANE CO.",2,1,3,1,1500,"N","S",7,17,0,43,5,17.4422675033641,9.93479240236454
"24",16,"COLUMBIA HELICOPTERS, INC",1,1,3,1,1500,"N","S",7,17,0,43,5,17.4588174284402,9.93479240236454
"25",17,"SAM GREGG",2,1,3,1,1270,"N","S",5,19,0,33,2,14.550279413215,9.98815034041484
"26",17,"M&M WOOD PRODUCTS",1,1,3,1,1270,"N","S",5,19,0,33,2,14.8148754595229,9.98815034041484
"27",20,"MISSOULA WHITE PINE COMPA",1,1,3,2,300,"Y","S",5,122,0,10,1,14.0367963847764,10.3509259921217
"28",21,"CHAMPION TIMBERLANDS",1,1,3,2,3600,"N","S",7,19,141,41,1,15.8319736942262,9.98815034041484
"29",24,"MIKE SMITH",1,1,3,2,54,"Y","D",5,19,0,5,1,13.9225840057159,10.0909210212163
"30",26,"DEL CONNER LUMBER, INC.",1,1,3,3,2220,"N","S",7,93,0,10,1,17.6113419357743,10.3342954683161
"31",27,"SAM GREGG",1,1,3,3,260,"N","D",5,108,0,16,1,14.8983446902784,10.1765254201242
"32",28,"FOR.RES.,HOERNER WALDORF",1,1,3,4,4500,"N","S",7,19,153,52,1,17.1597551517028,9.9157125221587
"33",29,"DEL CONNER LUMBER, INC.",2,1,3,4,2417,"N","S",7,19,65,29,3,18.3045441521631,10.0908381093515
"34",29,"MISSOULA WHITE PINE SASH",1,1,3,4,2417,"N","S",7,19,65,29,3,18.4000177266268,10.0908381093515
"35",29,"CHAMPION INTERNATIONAL CO",3,1,3,4,2417,"N","S",7,19,65,29,3,18.2816870314131,10.0908381093515
"36",30,"DEL CONNER LUMBER, INC.",1,1,3,4,1430,"N","S",6,19,52,30,3,16.7751606280868,10.0838488559549
"37",30,"CHAMPION INTERNATIONAL CO",2,1,3,4,1430,"N","S",6,19,52,30,3,16.7744076706711,10.0838488559549
"38",30,"MISSOULA WHITE PINE SASH",3,1,3,4,1430,"N","S",6,19,52,30,3,16.772622058365,10.0838488559549
"39",31,"JAMES DAUGHERTY",2,1,4,1,348,"Y","S",5,17,0,55,4,15.6839506277741,9.93571269983086
"40",31,"KELLOGG TRANSFER, INC.",4,1,4,1,348,"Y","S",5,17,0,55,4,15.6096643252384,9.93571269983086
"41",31,"PAT CONNORS",3,1,4,1,348,"Y","S",5,17,0,55,4,15.6476885803411,9.93571269983086
"42",31,"IDAHO VENEER CO.",1,1,4,1,348,"Y","S",5,17,0,55,4,15.8594004372843,9.93571269983086
"43",32,"LOUISIANA-PACIFIC CORP.",2,1,4,1,2400,"N","S",7,17,56,73,4,18.3163837736407,9.94092783550997
"44",32,"DIAMOND INTERNATIONAL COR",3,1,4,1,2400,"N","S",7,17,56,73,4,18.1462498192857,9.94092783550997
"45",32,"IDAHO FOREST INDUSTRIES,",1,1,4,1,2400,"N","S",7,17,56,73,4,18.3247040620849,9.94092783550997
"46",32,"THE PACK RIVER COMPANY",4,1,4,1,2400,"N","S",7,17,56,73,4,18.0000064097094,9.94092783550997
"47",33,"IDAHO FOREST INDUSTRIES",1,1,4,1,324,"Y","S",5,17,0,55,2,16.6669770018525,9.93105408025393
"48",33,"KELLOGG TRANSFER INC.",2,1,4,1,324,"Y","S",5,17,0,55,2,16.655081239495,9.93105408025393
"49",34,"KELLOGG TRANSFER",1,1,4,1,134,"Y","S",5,17,0,72,3,15.0249415393036,9.93042155377621
"50",34,"FOREST PRODUCTS",2,1,4,1,134,"Y","S",5,17,0,72,3,14.9918715404516,9.93042155377621
"51",34,"PAT CONNORS",3,1,4,1,134,"Y","S",5,17,0,72,3,14.7612004676902,9.93042155377621
"52",35,"DAVID H. ROTH",1,1,4,1,100,"Y","S",5,17,0,70,1,13.7648560069052,10.0343403609549
"53",36,"BRAND-S CORPORATION",5,1,4,1,2100,"N","S",7,17,51,78,5,18.1725708613402,10.0322325084267
"54",36,"FOREST PRODUCTS P.T.F.INC",3,1,4,1,2100,"N","S",7,17,51,78,5,18.326066941621,10.0322325084267
"55",36,"DIAMOND INTERNATIONAL COR",4,1,4,1,2100,"N","S",7,17,51,78,5,18.3154113352553,10.0322325084267
"56",36,"THE PACK RIVER COMPANY",2,1,4,1,2100,"N","S",7,17,51,78,5,18.404591808359,10.0322325084267
"57",36,"LOUISIANA-PACIFIC CORP.",1,1,4,1,2100,"N","S",7,17,51,78,5,18.6797668719662,10.0322325084267
"58",37,"KELLOGG TRANSFER, INC.",1,1,4,1,100,"Y","S",5,17,0,64,2,14.1653769764066,10.0263686819119
"59",37,"WILLIAM L. ARNOLD",2,1,4,1,100,"Y","S",5,17,0,64,2,14.1577937354608,10.0263686819119
"60",38,"COTE-MCCOY",2,1,4,1,11,"Y","S",5,17,0,72,2,13.6547078020566,10.025351140293
"61",38,"JAMES DAUGHERTY",1,1,4,1,11,"Y","S",5,17,0,72,2,13.7084819852058,10.025351140293
"62",39,"THE PACK RIVER COMPANY",1,1,4,1,1500,"N","A",7,17,40,65,4,18.4791654778409,10.1009850368668
"63",39,"LOUISIANA-PACIFIC CORP.",2,1,4,1,1500,"N","A",7,17,40,65,4,18.4783937428705,10.1009850368668
"64",39,"DIAMOND INTERNATIONAL COR",3,1,4,1,1500,"N","A",7,17,40,65,4,13.8617641744817,10.1009850368668
"65",39,"POTLATCH CORPORATION",4,1,4,1,1500,"N","A",7,17,40,65,4,18.017273367262,10.1009850368668
"66",40,"FOREST PRODUCTS",1,1,4,1,168,"Y","S",5,17,0,80,4,14.5809318873942,10.087099942513
"67",40,"EUGENE YOUNG",4,1,4,1,168,"Y","S",5,17,0,80,4,13.5085423648038,10.087099942513
"68",40,"PAT CONNORS",3,1,4,1,168,"Y","S",5,17,0,80,4,13.7354646836191,10.087099942513
"69",40,"KELLOGG TRANSFER",2,1,4,1,168,"Y","S",5,17,0,80,4,14.0708300663051,10.087099942513
"70",41,"WAYNE T. MORGAN",1,1,4,1,92,"Y","S",5,17,0,53,3,13.8345521114035,9.94606800007125
"71",41,"WILLIAM L. ARNOLD",2,1,4,1,92,"Y","S",5,17,0,53,3,13.7403106052013,9.94606800007125
"72",41,"KELLOGG TRANSFER INC.",3,1,4,1,92,"Y","S",5,17,0,53,3,13.6364389144765,9.94606800007125
"73",42,"WAYNE T. MORGAN",1,1,4,1,88,"Y","S",5,17,0,54,2,13.9043315466186,10.1001639176352
"74",42,"EUGENE YOUNG",2,1,4,1,88,"Y","S",5,17,0,54,2,13.8857826109496,10.1001639176352
"75",43,"KELLOGG TRANSFER, INC.",1,1,4,1,148,"Y","S",5,17,0,78,2,15.3866873606784,10.1106236657045
"76",43,"WAYNE T. MORGAN",2,1,4,1,148,"Y","S",5,17,0,78,2,15.3534556910297,10.1106236657045
"77",44,"WAYNE T. MORGAN",1,1,4,1,64,"Y","S",5,108,0,62,2,13.7737339412706,10.1567722607623
"78",44,"PAT CONNORS",2,1,4,1,64,"Y","S",5,108,0,62,2,13.7102344831857,10.1567722607623
"79",45,"KELLOGG TRANSFER, INC.",1,1,4,1,174,"Y","A",5,17,0,65,1,15.8309310445979,10.1025433083212
"80",46,"PAT CONNORS",2,1,4,1,48,"Y","S",5,17,0,60,2,13.4700863719412,10.0844748863169
"81",46,"WALTER F. DUDLEY",1,1,4,1,48,"Y","S",5,17,0,60,2,13.7272474888439,10.0844748863169
"82",47,"WAYNE MORGAN",2,1,4,1,42,"Y","S",5,17,0,76,2,13.6420686600489,10.0494476379797
"83",47,"PAT CONNORS",1,1,4,1,42,"Y","S",5,17,0,76,2,13.7795807438578,10.0494476379797
"84",48,"POTLATCH CORPORATION",1,1,4,2,1560,"N","A",8,17,189,71,2,18.4302579358909,9.93081084818502
"85",48,"CLARK FORK LOGGING COMPAN",2,1,4,2,1560,"N","A",8,17,189,71,2,18.4247231623583,9.93081084818502
"86",49,"POTLATCH CORPORATION",1,1,4,2,270,"N","S",5,17,0,78,1,15.9358384920908,10.0853923558337
"87",51,"POTLATCH CORPORATION",1,1,4,2,1750,"N","S",8,17,150,81,1,18.8864642936753,10.0722171558106
"88",52,"TWO RIVERS LOGGING",1,1,4,2,82,"Y","A",5,17,0,40,4,15.3556125400735,10.0458981580172
"89",52,"SHOSHONE PRODUCTS",4,1,4,2,82,"Y","A",5,17,0,40,4,15.0480317513236,10.0458981580172
"90",52,"BUCK MOORE",2,1,4,2,82,"Y","A",5,17,0,40,4,15.3472227930024,10.0458981580172
