"","TractNumber","Date","AreaCode.x","BlockCode.x","BidOrder","Bid","nCompany","CompanyCode","ShareinBid","SaleDate","AreaCode.y","BlockCode.y","BlockPortion","StateCode","Acreage","PresaleValue","Type","Royalty","NumberOfBid","Reject","Reoffer","SameAs","PreviousTract","InitialTerm","HighBid","FirstSqud","Termniation","DrillingLag","ProductionLag","NumOfWell","NumOfYear_CruOilCon","NumOfYear_GasOil","ProdSpan_CruOilCon","ProdSpan_Gas","AveAnnualProd_Oil","AveAnnualPro_Gas","YearOfMaxProd_Oil","MaxAnnualPro_Oil","YearOfMaxProd_Gas","MaxAnnualPro_Gas","PredictSum_Oil","PredictSum_Gas","PredictRev","DrillCost","lbid","lvalue","lcost","Date1","BlockCode"
"1","1",1954-10-13,"WC","0168","1","445232.","1","19","100.0",541013,"WC","168","P",17,2500,0,1,6,1,0,0,0,0,0,445232,590611,73,4.67,6.08,3,8,9,8,9,1437.5,1195264.1,68,2613,68,2127332,6038.8,5480758.1,3597434.5,5194366.7,13.0063507736082,0,15.4630854619221,1954-10-13,"0168"
"2","10",1954-10-13,"EC","0082","1","5559969.","1","3","100.0",541013,"EC","82","P",17,2500,0,1,6,2,0,0,0,0,0,5559969,561130,85,2.08,1.83,19,28,28,28,28,58083,6737411.6,71,201316,71,17511256,883541.3,98698257.3,72054539.7,17665123.7,15.5311030906717,0,16.687102897907,1954-10-13,"0082"
"3","10",1954-10-13,"EC","0082","2","1754865.","1","30","100.0",541013,"EC","82","P",17,2500,0,1,6,2,0,0,0,0,0,5559969,561130,85,2.08,1.83,19,28,28,28,28,58083,6737411.6,71,201316,71,17511256,883541.3,98698257.3,72054539.7,17665123.7,14.3779024888464,0,16.687102897907,1954-10-13,"0082"
"4","100",1954-11-09,"HI","0052","2","3577844.","1","1","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,15.0902709423239,0,15.1248929077461,1954-11-09,"0052"
"5","100",1954-11-09,"HI","0052","3","2666808.","1","30","99.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,14.7963928095716,0,15.1248929077461,1954-11-09,"0052"
"6","100",1954-11-09,"HI","0052","6","525417.","1","21","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,13.1719475120101,0,15.1248929077461,1954-11-09,"0052"
"7","100",1954-11-09,"HI","0052","7","284226.","1","168","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,12.5575249753305,0,15.1248929077461,1954-11-09,"0052"
"8","100",1954-11-09,"HI","0052","4","1739805.","1","7","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,14.369283595945,0,15.1248929077461,1954-11-09,"0052"
"9","100",1954-11-09,"HI","0052","5","880699.","1","15","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,13.6884711893325,0,15.1248929077461,1954-11-09,"0052"
"10","100",1954-11-09,"HI","0052","1","5889675.","1","16","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,5889675,590916,80,4.83,0.08,3,12,12,22,22,19131.3,311057.5,68,103503,71,968257,113730.3,1651014.4,2086311.2,3703884.3,15.5887113758371,0,15.1248929077461,1954-11-09,"0052"
"11","101",1954-11-09,"HI","0052","8","380302.","1","21","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,12.8487209529086,0,15.2138498863372,1954-11-09,"0052"
"12","101",1954-11-09,"HI","0052","9","360286.","1","2","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,12.7946534394728,0,15.2138498863372,1954-11-09,"0052"
"13","101",1954-11-09,"HI","0052","10","211453.","1","4","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,12.2617580305512,0,15.2138498863372,1954-11-09,"0052"
"14","101",1954-11-09,"HI","0052","2","6185466.","1","1","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,15.6377129045437,0,15.2138498863372,1954-11-09,"0052"
"15","101",1954-11-09,"HI","0052","3","5216015.","4","6","25.0 24 25.0 8 25.0 15 25.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,15.4672442583514,0,15.2138498863372,1954-11-09,"0052"
"16","101",1954-11-09,"HI","0052","4","1935536.","1","168","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,14.4758948486719,0,15.2138498863372,1954-11-09,"0052"
"17","101",1954-11-09,"HI","0052","1","11053774.","1","16","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,16.2182824660786,0,15.2138498863372,1954-11-09,"0052"
