"","fips","state","county","pop_1990","pop_2000","med_income","college"
"1","1001","AL","Autauga County","34222","43751","41953",0.18
"2","1003","AL","Baldwin County","98280","140416","40174",0.231
"3","1005","AL","Barbour County","25417","29042","25080",0.109
"4","1007","AL","Bibb County","16598","19856","31402",0.071
"5","1009","AL","Blount County","39248","50982","35054",0.096
"6","1011","AL","Bullock County","11042","11603","20720",0.077
"7","1013","AL","Butler County","21892","21394","24745",0.104
"8","1015","AL","Calhoun County","116032","111882","31422",0.152
"9","1017","AL","Chambers County","36876","36600","29795",0.095
"10","1019","AL","Cherokee County","19543","23909","31247",0.097
"11","1021","AL","Chilton County","32458","39604","32032",0.099
"12","1023","AL","Choctaw County","16018","15953","25218",0.096
"13","1025","AL","Clarke County","27240","27870","27743",0.121
"14","1027","AL","Clay County","13252","14240","27539",0.078
"15","1029","AL","Cleburne County","12730","14141","30727",0.092
"16","1031","AL","Coffee County","40240","43639","33142",0.193
"17","1033","AL","Colbert County","51666","54979","31806",0.141
"18","1035","AL","Conecuh County","14054","14077","21974",0.092
"19","1037","AL","Coosa County","11063","11842","29162",0.08
"20","1039","AL","Covington County","36478","37640","26215",0.122
"21","1041","AL","Crenshaw County","13635","13657","25783",0.112
"22","1043","AL","Cullman County","67613","77426","32069",0.119
"23","1045","AL","Dale County","49633","49120","31493",0.14
"24","1047","AL","Dallas County","48130","46361","23559",0.139
"25","1049","AL","DeKalb County","54651","64436","29792",0.083
"26","1051","AL","Elmore County","49210","65819","40933",0.166
"27","1053","AL","Escambia County","35518","38452","27979",0.106
"28","1055","AL","Etowah County","99840","103448","31073",0.134
"29","1057","AL","Fayette County","17962","18522","28678",0.092
"30","1059","AL","Franklin County","27814","31257","27181",0.097
"31","1061","AL","Geneva County","23647","25700","26176",0.087
"32","1063","AL","Greene County","10153","9923","20151",0.105
"33","1065","AL","Hale County","15498","18270","25919",0.081
"34","1067","AL","Henry County","15374","16297","29598",0.141
"35","1069","AL","Houston County","81331","88831","34372",0.184
"36","1071","AL","Jackson County","47796","53871","32090",0.104
"37","1073","AL","Jefferson County","651520","662041","36534",0.246
"38","1075","AL","Lamar County","15715","15902","27962",0.078
"39","1077","AL","Lauderdale County","79661","87952","33348",0.185
"40","1079","AL","Lawrence County","31513","34834","31430",0.075
"41","1081","AL","Lee County","87146","115014","30707",0.279
"42","1083","AL","Limestone County","54135","65668","37482",0.169
"43","1085","AL","Lowndes County","12658","13483","23039",0.11
"44","1087","AL","Macon County","24928","24086","21210",0.188
"45","1089","AL","Madison County","238912","276998","44688",0.343
"46","1091","AL","Marengo County","23084","22533","28059",0.121
"47","1093","AL","Marion County","29830","31162","27284",0.08
"48","1095","AL","Marshall County","70832","82303","32018",0.139
"49","1097","AL","Mobile County","378643","399887","33431",0.186
"50","1099","AL","Monroe County","23968","24320","28992",0.118
"51","1101","AL","Montgomery County","209085","223518","35888",0.285
"52","1103","AL","Morgan County","100043","111076","37548",0.184
"53","1105","AL","Perry County","12759","11876","20239",0.1
"54","1107","AL","Pickens County","20699","20914","25637",0.098
"55","1109","AL","Pike County","27595","29688","25789",0.184
"56","1111","AL","Randolph County","19881","22344","28434",0.1
"57","1113","AL","Russell County","46860","49854","27249",0.097
"58","1115","AL","St. Clair County","49811","64740","37432",0.111
"59","1117","AL","Shelby County","99363","143429","55248",0.368
"60","1119","AL","Sumter County","16174","14772","19133",0.124
"61","1121","AL","Talladega County","74109","80734","31044",0.112
"62","1123","AL","Tallapoosa County","38826","41771","30638",0.141
"63","1125","AL","Tuscaloosa County","150500","164932","33632",0.24
"64","1127","AL","Walker County","67670","70688","28856",0.091
"65","1129","AL","Washington County","16694","18077","31223",0.086
"66","1131","AL","Wilcox County","13568","12995","16620",0.101
"67","1133","AL","Winston County","22053","24806","28320",0.083
"68","2013","AK","Aleutians East Borough","2464","2697","46250",0.049
"69","2016","AK","Aleutians West Census Area","9478","5464","60071",0.11
