File.Number,Hospital.Name.x,Profile.Page,Discharges,X..of.Discharges,LOS,X..of.LOS,Avg..LOS,Charges,X..of.Charges,Avg.Charges,Discharges_0_24_female,Discharges_0_24_male,Discharges_25_54_female,Discharges_25_54_male,Discharges_55_female,Discharges_55_male,county.x,drop,Discharges_0_24_female_fw,Discharges_25_54_female_fw,Discharges_55_female_fw,Discharges_0_24_male_fw,Discharges_25_54_male_fw,Discharges_55_male_fw,Discharges_0_24_female_cw,Discharges_25_54_female_cw,Discharges_55_female_cw,Discharges_0_24_male_cw,Discharges_25_54_male_cw,Discharges_55_male_cw,WTP,prob,match,rpt_rec_num,Provider.CCN,Hospital.Name.y,Street.Address,City,State.Code,Zip.Code,County,Medicare.CBSA.Number,Rural.Versus.Urban,CCN.Facility.Type,Provider.Type,Type.of.Control,Fiscal.Year.Begin.Date,Fiscal.Year.End.Date,FTE...Employees.on.Payroll,Number.of.Interns.and.Residents..FTE.,Total.Days.Title.V,Total.Days.Title.XVIII,Total.Days.Title.XIX,Total.Days..V...XVIII...XIX...Unknown.,Number.of.Beds,Total.Bed.Days.Available,Total.Discharges.Title.V,Total.Discharges.Title.XVIII,Total.Discharges.Title.XIX,Total.Discharges..V...XVIII...XIX...Unknown.,Total.Days.Title.V...Total.for.all.Subproviders,Total.Days.Title.XVIII...Total.for.all.Subproviders,Total.Days.Title.XIX...Total.for.all.Subproviders,Total.Days..V...XVIII...XIX...Unknown....Total.for.all.Subproviders,Number.of.Beds...Total.for.all.Subproviders,Total.Bed.Days.Available...Total.for.all.Subproviders,Total.Discharges.Title.V...Total.for.all.Subproviders,Total.Discharges.Title.XVIII...Total.for.all.Subproviders,Total.Discharges.Title.XIX...Total.for.all.Subproviders,Total.Discharges..V...XVIII...XIX...Unknown....Total.for.all.Subproviders,Hospital.Total.Days.Title.V.For.Adults...Peds,Hospital.Total.Days.Title.XVIII.For.Adults...Peds,Hospital.Total.Days.Title.XIX.For.Adults...Peds,Hospital.Total.Days..V...XVIII...XIX...Unknown..For.Adults...Peds,Hospital.Number.of.Beds.For.Adults...Peds,Hospital.Total.Bed.Days.Available.For.Adults...Peds,Hospital.Total.Discharges.Title.V.For.Adults...Peds,Hospital.Total.Discharges.Title.XVIII.For.Adults...Peds,Hospital.Total.Discharges.Title.XIX.For.Adults...Peds,Hospital.Total.Discharges..V...XVIII...XIX...Unknown..For.Adults...Peds,Cost.of.Charity.Care,Total.Bad.Debt.Expense,Cost.of.Uncompensated.Care,Total.Unreimbursed.and.Uncompensated.Care,Total.Salaries.From.Worksheet.A,Overhead.Non.Salary.Costs,Depreciation.Cost,Total.Costs,Inpatient.Total.Charges,Outpatient.Total.Charges,Combined.Outpatient...Inpatient.Total.Charges,Wage.Related.Costs..Core.,Wage.Related.Costs..RHC.FQHC.,Total.Salaries..adjusted.,Contract.Labor,Wage.Related.Costs.for.Part...A.Teaching.Physicians,Wage.Related.Costs.for.Interns.and.Residents,Cash.on.Hand.and.in.Banks,Temporary.Investments,Notes.Receivable,Accounts.Receivable,Less..Allowances.for.Uncollectible.Notes.and.Accounts.Receivable,Inventory,Prepaid.Expenses,Other.Current.Assets,Total.Current.Assets,Land,Land.Improvements,Buildings,Leasehold.Improvements,Fixed.Equipment,Major.Movable.Equipment,Minor.Equipment.Depreciable,Health.Information.Technology.Designated.Assets,Total.Fixed.Assets,Investments,Other.Assets,Total.Other.Assets,Total.Assets,Accounts.Payable,Salaries..Wages..and.Fees.Payable,Payroll.Taxes.Payable,Notes.and.Loans.Payable..Short.Term.,Deferred.Income,Other.Current.Liabilities,Total.Current.Liabilities,Mortgage.Payable,Notes.Payable,Unsecured.Loans,Other.Long.Term.Liabilities,Total.Long.Term.Liabilities,Total.Liabilities,General.Fund.Balance,Total.Fund.Balances,Total.Liabilities.and.Fund.Balances,DRG.Amounts.Other.Than.Outlier.Payments,DRG.amounts.before.October.1,DRG.amounts.after.October.1,Outlier.payments.for.discharges,Disproportionate.Share.Adjustment,Allowable.DSH.Percentage,Managed.Care.Simulated.Payments,Total.IME.Payment,Inpatient.Revenue,Outpatient.Revenue,Gross.Revenue,Less.Contractual.Allowance.and.discounts.on.patients..accounts,Net.Patient.Revenue,Less.Total.Operating.Expense,Net.Income.from.Service.to.Patients,Total.Other.Income,Total.Income,Total.Other.Expenses,Net.Income,Cost.To.Charge.Ratio,Net.Revenue.from.Medicaid,Medicaid.Charges,Net.Revenue.from.Stand.Alone.SCHIP,Stand.Alone.SCHIP.Charges,Price,Wages,Beds,county.y,teach,short,long,nonprofit,profit,rural
100001,UF HEALTH JACKSONVILLE,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9827,2488,0.386552088981556,12841,0.47346882188819,5.16117363344051,180916186,0.458353379498036,72715.5088424437,293,218,764,522,287,404,duval,0,0.117765273311897,0.307073954983923,0.115353697749196,0.087620578778135,0.209807073954984,0.162379421221865,0.0609527771999168,0.0535014005602241,0.0494912916020003,0.0581954084356647,0.0901554404145078,0.0647955092221331,0.0661002264482534,0.0638518324350686,1,684264,100001,SHANDS JACKSONVILLE MEDICAL CENTER,655 WEST 8TH STREET,JACKSONVILLE,FL,32209-,DUVAL,27260,U,STH,5,2,07/01/2018,06/30/2019,4162.47,301.61,,31877,14013,154674,533,194545,,5443,2256,29255,,38225,17278,186510,589,214985,,5443,2256,29255,,20883,7304,96551,348,127020,,5443,2256,29255,80341082,69287473,98667149,142797453,266578578,455868755,33664816,645457091,1737762724,1865580115,3603342839,68109263,,266578578,517172,,135491,102597000,1429000,,119787000,,16691000,11623000,3415000,255542000,23918000,,390938000,,286318000,,,,249153000,,44609000,44609000,549304000,60344000,34655000,,17614000,,4920000,117533000,230786000,909000,,10148000,241843000,359376000,189928000,189928000,549304000,,11920636,39980740,2362201,4124862,0.3179,34038058,12588264,1737762553,1874706153,3612468706,2968336652,644132054,721857653,-77725599,111035777,33310178,-125826,33436004,0.179127,22577656,187723610,,,11.7238514494261,7.07714679511189,6.27852142416584,duval,0.0724593810886325,0,0,1,0,FALSE
100002,BETHESDA HOSPITAL EAST,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9828,3100,0.481636445274447,12985,0.478778339087154,4.18870967741935,190574194,0.482822061399273,61475.5464516129,370,323,1018,410,395,584,palm beach,0,0.119354838709677,0.328387096774194,0.12741935483871,0.104193548387097,0.132258064516129,0.188387096774194,0.0539044289044289,0.0641381048387097,0.0573045118235892,0.0496083550913838,0.0614324243332334,0.0736443883984868,0.0639986000141556,0.0619650409956845,1,682877,100002,BETHESDA HOSPITAL,2815 S. SEACREST BLVD,BOYNTON BEACH,FL,33435,PALM BEACH,48424,U,STH,5,2,10/01/2017,09/30/2018,1954.03,35.19,,33205,14291,96152,431,147638,,6783,1327,19615,,38743,14293,103639,467,160778,,7250,1328,20235,,20300,4780,68431,339,115883,,6783,1327,19615,16811190,16488507,20849930,44127832,117503054,213939968,24276979,320301760,1070032870,687703733,1757736603,33882030,,117503054,3493847,,87578,2757251,,,62507978,-19915347,,,13826607,59176489,20282811,6595061,117976141,102256,29340577,13359499,,,165413018,7647910,30025436,37673346,262262853,9284033,22877475,,,,21181867,53343375,,,,54434422,54434422,107777797,154485056,154485056,262262853,,,61957725,914702,2145286,0.1385,29983672,3011889,1073777627,901220160,1974997787,1675130206,299867581,331443022,-31575441,10491422,-21084019,551719,-21635738,0.182224,24117866,260545012,,,11.4886640574826,7.03049430268436,6.06610809010375,palm beach,0.0180089353797025,0,0,1,0,FALSE
100008,BAPTIST HOSPITAL OF MIAMI,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9833,12575,1.95373493526651,56019,2.06551280533872,4.45479125248509,719362825,1.82251455336342,57205.7912524851,1951,1941,4316,1222,1417,1728,miami-dade,0,0.155149105367793,0.343220675944334,0.112683896620278,0.154353876739563,0.0971769383697813,0.13741550695825,0.247024563180552,0.186734738026219,0.137359441644048,0.251914341336794,0.108990367463432,0.141130349558968,0.208531869260668,0.186763864056379,1,684024,100008,BAPTIST HOSPITAL,8900 NORTH KENDALL DRIVE,MIAMI,FL,33176,MIAMI-DADE,33124,U,STH,5,2,10/01/2017,09/30/2018,4912.22,,,39871,13185,184360,705,257325,,6049,736,30801,,43814,13200,191436,728,265720,,6321,737,31281,,37149,6179,156387,629,229585,,6049,736,30801,25084694,140694530,59570070,120654541,340601435,708353538,92296412,953405446,2527424958,2459384305,4986809263,74086054,,340601435,651480,205733,,49200,,,277766779,-136760998,,,26388471,167443452,94671661,10595148,737799921,6790701,39249812,310262079,,29160,793849005,,55238117,55238117,1016530574,,55186367,,2929088,1062500,129066958,188244913,,441533705,,63574017,505107722,693352635,323177939,323177939,1016530574,,,60414415,10213937,3342428,0.2213,,,2515783448,2471125915,4986909363,3817535278,1169374085,1048954973,120419112,28806523,149225635,5508926,143716709,0.191185,56004556,614000396,,,11.9793160252334,7.47546034264868,6.55819780281227,miami-dade,0,0,0,1,0,FALSE
100012,LEE MEMORIAL HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9836,2409,0.374278127956821,10082,0.371739947221924,4.18513906185139,142653557,0.361414538931114,59216.9186384392,52,88,569,557,610,533,lee,0,0.0215857202158572,0.236197592361976,0.253217102532171,0.0365296803652968,0.231216272312163,0.221253632212536,0.0213377102995486,0.105175600739372,0.208761122518823,0.0415682569674067,0.22959604286892,0.164506172839506,0.187633716076553,0.169167104652278,1,683332,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVENUE,FORT MYERS,FL,33901-,LEE,15980,U,STH,5,13,10/01/2017,09/30/2018,5457,20.25,,54784,17382,183739,743,271195,,11387,1649,39787,,86022,18551,223740,818,298895,,12062,1694,41069,,48054,8440,129267,539,196735,,11387,1649,39787,31920736,101368309,52996103,53440098,344164680,395580234,55104618,779295326,2166719674,1843249540,4009969214,94577055,,344164680,988887,,493166,1276229,832269448,,150074445,,19143367,,30145997,1032909486,70439296,18880000,462499178,,224677000,499649000,,,762347952,,32504857,32504857,1827762295,58014721,,,,,118763946,176778667,,,,580042028,580042028,756820695,1070941600,1070941600,1827762295,,,110636671,3095962,4726952,0.1709,50425439,1739872,2180195260,2126984639,4307179899,3366001626,941178273,739744914,201433359,13876137,215309496,-47791558,263101054,0.194339,125410286,712063354,,,11.5605403531456,,6.61069604471776,lee,0.0037108301264431,0,0,0,0,FALSE
100014,FLORIDA HOSPITAL NEW SMYRNA,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9837,753,0.116991046223116,3012,0.111057401411668,4,26505809,0.0671527926831237,35200.2775564409,0,0,147,154,213,217,volusia,0,0,0.195219123505976,0.282868525896414,0,0.204515272244356,0.288180610889774,0,0.0444242973708069,0.10162213740458,0,0.0920502092050209,0.0928540864356012,0.0870175074248834,0.0830025975495123,1,692174,100014,ADVENTHEALTH NEW SMYRNA BEACH,401 PALMETTO STREET,NEW SMYRNA BEACH,FL,32168-,VOLUSIA,19660,U,STH,2,1,01/01/2018,12/31/2018,551.8,,,8772,725,24673,112,40880,,1986,63,5605,,8772,725,24673,112,40880,,1986,63,5605,,7780,562,21814,98,35770,,1986,63,5605,4125448,5233073,6204643,11405514,40991252,74469115,5762924,106347291,199116291,206662061,405778352,7194429,,38915848,3549224,,,6660570,,,18472682,-6162946,2717936,1348806,1596222,28245329,6015162,204161,32755648,,2047903,13546384,,5215596,46503709,,3206086,3206086,77955124,1739024,,2428480,342323,,5637135,10146962,,,,,,10146962,67808162,67808162,77955124,,11750891,3430973,445937,,,,,198462808,216266836,414729644,303596343,111133301,115460367,-4327066,1294371,-3032695,,-3032695,0.262082,2734907,30279751,,,11.2117230701553,,4.71849887129509,volusia,0,0,1,0,0,FALSE
100017,HALIFAX HEALTH MEDICAL CENTER,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9840,4187,0.650519934311004,19153,0.706202659109454,4.57439694291856,169551288,0.429560270815375,40494.6950083592,529,450,1262,547,661,738,volusia,0,0.126343443993313,0.30140912347743,0.157869596369716,0.107475519465011,0.130642464771913,0.176259851922618,0.513094083414161,0.3813841039589,0.315362595419847,0.510783200908059,0.326957561267185,0.315789473684211,0.490952623249317,0.382837125124306,1,684266,100017,HALIFAX MEDICAL CENTER,HALIFAX MEDICAL CENTER,303 N CLYDE MORRIS BLVD,FL,32114,VOLUSIA,19660,U,STH,1,11,10/01/2017,09/30/2018,3202.64,24.83,,23568,22744,109708,436,159140,,4473,2025,20678,,34936,22744,133320,544,198560,,5444,2025,24020,,15353,16346,73425,310,113150,,4473,2025,20678,30423437,49980852,41775037,68663988,205976618,284070935,14991827,392976311,976039592,873611767,1849651359,48228740,,207541155,,,495787,41599000,227214000,,71183000,,11698000,,17358000,369552000,50431000,6359000,407066000,,31713000,162187000,,,379971000,,216224000,216224000,965747000,55450000,20226000,,,,16254000,91930000,438237000,,,130129000,568366000,660296000,305451000,305451000,965747000,,,43498330,655896,1721447,0.1583,41396398,1234526,976028054,873611767,1849639821,1379129409,470510412,488932333,-18421921,30986744,12564823,6569611,5995212,0.21246,34413594,270613954,,,11.2516146700965,6.73583736781028,6.07764224334903,volusia,0.00775297879249619,1,0,0,0,FALSE
100018,NAPLES COMMUNITY HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9841,2392,0.371636895837574,9803,0.361452757648931,4.09824414715719,119156440,0.301884304386977,49814.5652173913,36,52,434,469,601,800,collier,0,0.0150501672240803,0.181438127090301,0.251254180602007,0.0217391304347826,0.196070234113712,0.334448160535117,0.0521739130434783,0.170062695924765,0.385750962772786,0.0936936936936937,0.384111384111384,0.416666666666667,0.434515541432825,0.345265653880018,1,684267,100018,NAPLES COMMUNITY HOSPITAL,350 7TH STREET NORTH,NAPLES,FL,34102,COLLIER,34940,U,STH,1,2,10/01/2017,09/30/2018,2647.02,15.31,,60306,7762,130500,535,195275,,12821,1313,24467,,70117,8073,146325,602,219730,,13862,1355,26615,,55596,4816,110661,467,170455,,12821,1313,24467,15621494,59619433,28152819,52163187,192915203,290447914,33642393,438449832,1242258943,1040345133,2282604076,37609708,,193300600,2805542,16078,293418,,,83879534,64449436,5949816,11027734,,27565154,208882990,25216389,8317110,185129479,248095718,50825859,283559935,,,327695669,,334759475,334759475,871338134,29613180,,,,,101187823,130801003,,,,110563196,110563196,241364199,576693782,629973935,871338134,,,105263910,1358980,1360536,0.0517,18246784,1760118,1249123602,1034313761,2283437363,1774669878,508767485,483363117,25404368,36383953,61788321,9778935,52009386,0.192083,14542457,202111065,444392,2300134,11.3597175143457,,6.28226674689601,collier,0.00578386260776269,1,0,1,0,FALSE
100019,HOLMES REGIONAL MEDICAL CENTER,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9842,8079,1.25520672302331,29150,1.0748085163181,3.60811981680901,398528096,1.00967582649856,49328.8892189627,1055,898,2463,872,1342,1449,brevard,0,0.130585468498577,0.304864463423691,0.166109667038,0.111152370342864,0.107934150266122,0.179353880430746,0.639781685870224,0.539539978094195,0.420294393986846,0.689708141321045,0.418828049951969,0.425300851188729,0.748331345211406,0.515995621389568,1,717951,100019,HOLMES REGL MEDICAL CENTER,1350 SOUTH HICKORY STREET,MELBOURNE,FL,32901,BREVARD,37340,U,STH,2,2,10/01/2017,09/30/2018,2142,,,53380,5062,145675,514,187610,,10197,1574,30103,,53380,5062,145675,514,187610,,10197,1574,30103,,46154,3420,119706,450,164250,,10197,1574,30103,31882763,10907074,40548191,53651247,169900970,311691592,28608898,490001737,1817736039,823371478,2641107517,53013933,,130835320,5618122,,,328354208,101764856,,154983605,-88497511,16095970,2261985,,518285406,18834605,8792586,182686687,113585021,45239305,213500394,,,189414049,1606968,8908944,10515912,718215367,8466561,14238161,,2838682,42168813,10595391,127268376,138838242,7306763,,,146145005,273413381,444801986,444801986,718215367,,,100304686,7279049,1248793,0.0498,,,1817920438,832039165,2649959603,2132848857,517110746,481592562,35518184,28190287,63708471,,63708471,0.185529,25030750,241579870,45085,651215,11.3854301191329,6.15905619880542,6.24222326545517,brevard,0,0,1,1,0,FALSE
100022,JACKSON MEMORIAL HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9845,7487,1.16322969863542,51424,1.89608758638566,6.86843862695339,585113137,1.48239131977195,78150.5458795245,993,962,2101,1387,869,1175,miami-dade,0,0.132629891812475,0.280619740884199,0.116067850941632,0.128489381594764,0.185254441031121,0.156938693735809,0.125728032413269,0.090901224419158,0.0842380767739434,0.12485399091499,0.123706742775598,0.0959653707938582,0.112210756394823,0.105981621421176,1,683333,100022,JACKSON MEMORIAL,1611 NW 12TH AVENUE,MIAMI,FL,33136,DADE,33124,R,STH,5,9,10/01/2017,09/30/2018,9265.52,772.75,,52810,59887,377267,1436,524140,,6828,8409,56014,,61875,67931,429880,1642,599330,,7913,9172,64899,,41316,44005,279522,1148,419020,,6828,8409,56014,148955448,274663265,232744069,383755750,916684401,1026899205,12982376,1595606011,3978504723,1557915241,5536419964,168288999,,916684401,9742046,,15610369,308081873,14364383,,233222173,,35991083,11019507,,1460502309,74689484,37082427,835097372,,103822539,576186325,,,559202957,67582144,269410350,336992494,2356697760,129298655,139076501,,13573731,,825739286,1158591005,,,,575262411,575262411,1733853416,622844344,622844344,2356697760,,,79733184,15730235,9105530,0.4568,98297773,19284427,3978504723,1557915241,5536419964,4359598730,1176821234,1995959656,-819138422,994567508,175429086,,175429086,0.288202,248003000,1608109236,,,11.3540264186807,7.66994721235214,7.26961674960817,dade,0.0834006078449995,0,0,0,0,TRUE
100023,CITRUS MEMORIAL HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9846,1063,0.165154690750561,3489,0.128645177133237,3.28222013170273,97141082,0.246108124470388,91383.896519285,84,53,284,134,268,240,citrus,0,0.0790216368767639,0.267168391345249,0.25211665098777,0.0498588899341486,0.126058325493885,0.225776105362183,0.661417322834646,0.643990929705215,0.635071090047393,1,0.650485436893204,0.62015503875969,0.966720809348023,0.656306480840176,1,718251,100023,CITRUS MEMORIAL HOSPITAL,502 HIGHLAND BLVD,INVERNESS,FL,32652,CITRUS,26140,U,STH,5,4,11/01/2017,10/31/2018,728.85,4.9,,21418,1374,45670,204,74460,,5078,278,10707,,21418,1374,45740,204,74460,,5078,278,10707,,18533,1153,38928,180,65700,,5078,278,10707,9254810,16973392,10862724,19346456,44404951,112276093,8692841,128404338,1036138278,784873501,1821011779,14731782,,44337435,5286216,,96311,522,,,35443599,-18624993,4956526,301608,,22912045,,1439172,44033164,19745661,13498390,29858255,3751702,,93675413,,53111223,53111223,169698681,4214236,3563786,4969079,154584,,54190,12955875,,543225,172786147,169430,173498802,186454677,-16755996,-16755996,169698681,,36365096,3131724,104779,570730,0.0578,20727380,568675,1036138278,784873501,1821011779,1667238694,153773085,156660125,-2887040,1910275,-976765,,-976765,0.070513,7241500,197132722,,,12.0440050939366,5.80768100871842,5.31811999384422,citrus,0.00672291966797009,0,0,0,1,FALSE
