"","Hospital.Name","Profile.Page","File.Number","Discharges","X..of.Discharges","LOS","X..of.LOS","Avg..LOS","Charges","X..of.Charges","Avg.Charges","Discharges_0_24_female","Discharges_0_24_male","Discharges_25_54_female","Discharges_25_54_male","Discharges_55_female","Discharges_55_male","county","drop","Discharges_0_24_female_fw","Discharges_25_54_female_fw","Discharges_55_female_fw","Discharges_0_24_male_fw","Discharges_25_54_male_fw","Discharges_55_male_fw","Discharges_0_24_female_cw","Discharges_25_54_female_cw","Discharges_55_female_cw","Discharges_0_24_male_cw","Discharges_25_54_male_cw","Discharges_55_male_cw"
"1","AVENTURA HOSPITAL AND MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9935",100131,3311,"0.5144187968721597044305892000",14686,"0.5414970109999185136596547900",4.43551797040169,351245127,"0.8898838437411387130156344700",106084.302929629,158,106,846,766,646,789,"Miami-Dade",0,0.0477197221383268,0.255511929930535,0.195107218363032,0.0320144971307762,0.231350045303534,0.238296587133796,0.0200050645733097,0.0366027776575953,0.0626211709965103,0.0137573004542505,0.0683196575098109,0.0644397255798759
"2","BAPTIST HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9907",100093,3281,"0.5097577990146650529256306700",13375,"0.4931582815010152608060658300",4.07650106674794,135544419,"0.3434034504836829615407359400",41311.922889363,516,351,887,432,470,625,"Escambia",0,0.157269125266687,0.270344407192929,0.143249009448339,0.106979579396525,0.131667174641877,0.190490704053642,0.230460026797678,0.223876829883897,0.279263220439691,0.207079646017699,0.268156424581006,0.315338042381433
"3","BAPTIST HOSPITAL OF MIAMI","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9833",100008,12575,"1.9537349352665080891617816800",56019,"2.0655128053387195435585048000",4.45479125248509,719362825,"1.8225145533634239239190671600",57205.7912524851,1951,1941,4316,1222,1417,1728,"Miami-Dade",0,0.155149105367793,0.343220675944334,0.112683896620278,0.154353876739563,0.0971769383697813,0.13741550695825,0.247024563180552,0.186734738026219,0.137359441644048,0.251914341336794,0.108990367463432,0.141130349558968
"4","BAPTIST MEDICAL CENTER - BEACHES","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9923",100117,2647,"0.4112553776262780844541738500",7215,"0.2660289346564355219974403700",2.72572723838308,72376346,"0.1833663616190712018823659400",27342.7827729505,448,383,1017,228,291,280,"Duval",0,0.169248205515678,0.38420853796751,0.109935776350586,0.144692104268984,0.0861352474499433,0.105780128447299,0.0931974204285417,0.071218487394958,0.0501810657009829,0.102242391884677,0.0393782383419689,0.0449077786688051
"5","BAPTIST MEDICAL CENTER - NASSAU","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9942",100140,862,"0.1339260051053463199091416200",2087,"0.0769511277377658952749352800",2.42111368909513,23960555,"0.0607043604097344812298003100",27796.4675174014,134,80,271,89,160,128,"Nassau",0,0.155452436194896,0.314385150812065,0.185614849187935,0.0928074245939675,0.103248259860789,0.148491879350348,1,1,1,1,1,1
"6","BAPTIST MEDICAL CENTER JACKSONVILLE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9903",100088,9574,"1.4874797829217931169490972400",35268,"1.3003892539796490630361368000",3.68372675997493,495481255,"1.2553078457401155764762293900",51752.7945477334,1117,829,3570,1291,1391,1376,"Duval",0,0.116670148318362,0.372884896594945,0.145289325255901,0.086588677668686,0.134844370169208,0.143722581992897,0.232369461202413,0.25,0.239868942921193,0.221302722904431,0.222970639032815,0.220689655172414
"7","BAPTIST MEDICAL CENTER SOUTH","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=165667",23960052,6018,"0.9349961702134270918946800900",17692,"0.6523331825282962238639937700",2.93984712529079,163873413,"0.4151753047592289854267488300",27230.5438683948,1040,901,2520,587,474,496,"Duval",0,0.172814888667331,0.418743768693918,0.0787637088733799,0.149717514124294,0.0975407111997341,0.0824194084413426,0.216351154566258,0.176470588235294,0.0817382307294361,0.240523224773091,0.101381692573402,0.0795509222133119
"8","BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9849",100026,1786,"0.2774847391161815862618641800",7960,"0.2934983118316322598890679600",4.4568868980963,121360301,"0.3074678133013972327488831400",67950.8964165733,48,60,381,374,432,491,"Bay",0,0.0268756998880179,0.213325867861142,0.241881298992161,0.0335946248600224,0.209406494960806,0.27491601343785,0.0808080808080808,0.293754818812645,0.59504132231405,0.130434782608696,0.535816618911175,0.623888182973316
"9","BAYCARE ALLIANT HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=242232",23960085,66,"0.0102541952864882333109087500",1978,"0.0729321181913277148317307100",29.969696969697,13812269,"0.0349935531732133447376929600",209276.803030303,0,0,0,0,0,0,"Pinellas",0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BAYFRONT HEALTH BROOKSVILLE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9886",100071,679,"0.1054939181746289457288946100",2059,"0.0759187216157450782803506200",3.03240058910162,64326930,"0.1629730673088232427277113700",94737.7466863034,0,0,155,166,189,139,"Hernando",0,0,0.228276877761414,0.278350515463918,0,0.244477172312224,0.204712812960236,0,0.0898030127462341,0.164921465968586,0,0.14954954954955,0.133397312859885
"11","BAYFRONT HEALTH PORT CHARLOTTE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9892",100077,1799,"0.2795045048544292685806795400",6368,"0.2347986494653058079112543700",3.53974430239022,148166141,"0.37538073820842367459587000",82360.2784880489,234,115,561,216,342,331,"Charlotte",0,0.130072262367982,0.311839911061701,0.190105614230128,0.0639244024458032,0.120066703724291,0.183991106170095,0.835714285714286,0.564954682779456,0.395833333333333,1,0.36,0.361353711790393
"12","BAYFRONT HEALTH PUNTA GORDA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9865",100047,743,"0.1154373802706175356061394700",3003,"0.1107255565867326226692049100",4.04172274562584,46403951,"0.1175649798570884017502129300",62454.8465679677,46,0,176,152,172,171,"Charlotte",0,0.0619111709286676,0.236877523553163,0.231493943472409,0,0.204576043068641,0.230148048452221,0.164285714285714,0.177240684793555,0.199074074074074,0,0.253333333333333,0.186681222707424
"13","BAYFRONT HEALTH SEVEN RIVERS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10028",100249,592,"0.0919770243878944563645148900",1875,"0.0691343385281797094587942800",3.16722972972973,45246711,"0.1146330981022391868193244800",76430.2550675676,43,0,157,72,154,147,"Citrus",0,0.0726351351351351,0.265202702702703,0.260135135135135,0,0.121621621621622,0.248310810810811,0.338582677165354,0.356009070294785,0.364928909952607,0,0.349514563106796,0.37984496124031
"14","BAYFRONT HEALTH SPRING HILL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10138",111525,1065,"0.1654654239410601284260276300",3126,"0.1152607691941812116097018200",2.93521126760563,74466504,"0.1886618025863313427187663100",69921.6,154,113,386,158,144,110,"Hernando",0,0.144600938967136,0.362441314553991,0.135211267605634,0.106103286384977,0.148356807511737,0.103286384976526,0.278481012658228,0.223638470451912,0.12565445026178,0.270334928229665,0.142342342342342,0.105566218809981
"15","BAYFRONT HEALTH ST PETERSBURG","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9854",100032,5293,"0.8223553886573063471915157400",15950,"0.5881027730797153951294766300",3.01341394294351,312604756,"0.7919879891772585204987240700",59060.0332514642,940,820,2108,473,516,435,"Pinellas",0,0.177593047421122,0.398261855280559,0.097487247307765,0.154921594558851,0.0893633100321179,0.0821840166257321,0.311774461028192,0.227891891891892,0.0984357115604731,0.313455657492355,0.107110507246377,0.0846632931101596
"16","BETHESDA HOSPITAL EAST","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9828",100002,3100,"0.4816364452744473221790475700",12985,"0.4787783390871538812386366200",4.18870967741935,190574194,"0.4828220613992730349684021400",61475.5464516129,370,323,1018,410,395,584,"Palm Beach",0,0.119354838709677,0.328387096774194,0.12741935483871,0.104193548387097,0.132258064516129,0.188387096774194,0.0539044289044289,0.0641381048387097,0.0573045118235892,0.0496083550913838,0.0614324243332334,0.0736443883984868
"17","BETHESDA HOSPITAL WEST","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=273216",23960098,878,"0.1364118706293434673784528300",3317,"0.1223032538122517846799043300",3.77790432801822,50909942,"0.1289809634045070606590382600",57983.9886104784,0,0,261,177,215,194,"Palm Beach",0,0,0.297266514806378,0.244874715261959,0,0.201594533029613,0.220956719817768,0,0.0164440524193548,0.0311910633976498,0,0.0265208270902008,0.0244640605296343
"18","BLAKE MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9997",100213,2186,"0.3396313772161102729946445100",10603,"0.3909500754209543783421843700",4.85041171088747,239104043,"0.6057730299526305220623172500",109379.708600183,58,75,451,470,586,546,"Manatee",0,0.0265324794144556,0.206312900274474,0.268069533394328,0.0343092406221409,0.215004574565416,0.249771271729186,0.0523938572719061,0.206124314442413,0.390146471371505,0.0936329588014981,0.38971807628524,0.366689053055742
"19","BOCA RATON REGIONAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9965",100168,8111,"1.2601784540713039452239531800",26475,"0.9761768600178974975581751600",3.26408580939465,228671871,"0.5793429940480222781163799200",28192.8086549131,1357,1085,2966,612,949,1142,"Palm Beach",0,0.167303661693996,0.365676242140303,0.117001602761682,0.13376895573912,0.0754530883984712,0.140796449266428,0.197698135198135,0.186869959677419,0.137675903090091,0.166641068960221,0.0916991309559485,0.144010088272383
"20","BRANDON REGIONAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10024",100243,6552,"1.0179619320768318886829418400",19497,"0.7188865057514238908363263900",2.9757326007326,458096005,"1.1605918556468967001022726100",69916.9726800977,977,702,2287,1003,783,800,"Hillsborough",0,0.149114774114774,0.349053724053724,0.119505494505495,0.107142857142857,0.153083028083028,0.122100122100122,0.134461877236444,0.132364857043639,0.114256529986867,0.108016617941222,0.130429128738622,0.107324926214113
"22","BROWARD HEALTH CORAL SPRINGS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10086",110019,4256,"0.6612402293832412268367827300",14828,"0.5467327849044526569893341400",3.48402255639098,101033975,"0.2559708167038744859294625500",23739.1858552632,668,538,1802,432,458,358,"Broward",0,0.156954887218045,0.423402255639098,0.107612781954887,0.12640977443609,0.101503759398496,0.0841165413533835,0.0774762236140107,0.0845691758963769,0.0537054409005629,0.0681530276159108,0.0463419866981334,0.0366653011061041
"23","BROWARD HEALTH IMPERIAL POINT","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9987",100200,1652,"0.2566656153527054762063827700",8016,"0.2955631240756738938782372800",4.85230024213075,45168926,"0.1144360288492744204930661700",27341.9648910412,117,168,395,441,234,297,"Broward",0,0.0708232445520581,0.23910411622276,0.141646489104116,0.101694915254237,0.266949152542373,0.179782082324455,0.0135699373695198,0.0185376384456542,0.0274390243902439,0.0212819863187231,0.0473074447543446,0.0304178615321589
"24","BROWARD HEALTH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9858",100039,5276,"0.8197141565380593780053725800",28534,"1.0520955816336425758385257800",5.40826383623958,285739193,"0.7239237553161301986067012100",54158.3004169826,635,680,1572,863,647,879,"Broward",0,0.12035633055345,0.297952994692949,0.122630780894617,0.128885519332828,0.163570887035633,0.166603487490523,0.073648805381582,0.0737751079406796,0.0758677298311445,0.0861413731948315,0.0925767002789101,0.090024580090127
