BK,Ownership,Mall,Playland,DriveThru,Lon,Lat,Price,Opening,Address,,
1,6,0,1,0,-121.93342,37.26233,3.19,900924,"2035 Camden Ave, San Jose, CA 95124",,
1,5,0,1,1,-121.95012,37.29422,3.19,770628,"49 W Hamilton Ave, Campbell, CA 95008",,
1,5,0,0,1,-121.56737,37.02138,3.19,920402,"450 Leavesley Rd, Gilroy, CA 95020",,
1,4,0,0,1,-121.87737,37.41506,3.29,861114,"1475 Dempsey Rd, Milpitas, CA 95035",,
1,0,0,0,1,-121.92238,37.45899,3.19,941122,"49103 Milmont Dr, Fremont, CA 94538",,
1,5,0,1,1,-121.90849,37.42967,3.19,780405,"175 W Calaveras Blvd, Milpitas, CA 95035",,
1,0,1,0,0,-121.89638,37.41924,3.69,960105,"447 Great Mall Dr, Milpitas, CA 95035",,
1,5,0,0,1,-121.64201,37.11327,3.19,920402,"16000 Monterey Hwy, Morgan Hill, CA 95037",,
1,5,0,1,1,-121.63543,37.13064,3.19,930809,"17050 Laurel Rd, Morgan Hill, CA 95037",,
1,6,0,0,1,-122.07148,37.37933,3.19,860512,"175 E El Camino Real, Mountain View, CA 94040",,
1,6,0,0,0,-122.11217,37.40183,3.19,770427,"685 San Antonio Rd Suite 15, Mountain View, CA 94040",,
1,0,0,0,0,-122.16162,37.44491,3.49,860604,"538 Ramona St, Palo Alto, CA 94301",,
1,4,0,0,1,-122.03169,37.3103,3.29,841102,"1007 S De Anza Blvd, San Jose, CA 95129",,
1,0,0,0,1,-121.85318,37.33356,3.29,890707,"1030 McLaughlin Ave, San Jose, CA 95122",,
1,0,0,0,0,-121.89943,37.3074,3.29,970121,"1175 Lincoln Ave, San Jose, CA 95125",,
1,0,0,0,1,-121.89118,37.36586,3.39,880407,"1181 Old Oakland Rd, San Jose, CA 95112",,
1,0,0,0,0,-121.93684,37.33764,3.49,920317,"1305 N Bascom Ave, San Jose, CA 95128",,
1,3,0,0,0,-121.99096,37.2918,3.19,820608,"5205 Prospect Rd, San Jose, CA 95129",,
1,0,0,0,0,-121.91261,37.2922,3.29,921009,"1580 Hamilton Ave, San Jose, CA 95125",,
1,5,0,0,1,-121.86077,37.30408,3.19,900522,"2280 Monterey Hwy, San Jose, CA 95112",,
1,0,0,0,1,-121.93885,37.37878,3.29,100000,"2532 Channing Ave, San Jose, CA 95131",,
1,5,0,1,1,-121.91037,37.32406,3.19,821216,"255 Race St, San Jose, CA 95126",,
1,5,0,1,1,-121.8184,37.356,3.19,920414,"3098 Story Rd, San Jose, CA 95127",,
1,0,0,0,1,-121.84258,37.3702,3.29,780602,"329 N Capitol Ave, San Jose, CA 95133",,
1,5,0,0,1,-121.94965,37.32251,3.19,920414,"369 S Winchester Blvd, San Jose, CA 95128",,
1,3,0,0,1,-121.97238,37.3196,3.19,751210,"405 Saratoga Ave, San Jose, CA 95129",,
1,7,0,0,1,-121.83418,37.27845,3.29,100000,"4040 Monterey Hwy, San Jose, CA 95111",,
1,0,0,0,1,-121.99095,37.31036,3.19,960214,"5154 Moorpark Ave, San Jose, CA 95129",,
1,5,0,1,0,-121.82995,37.23667,3.19,930929,"6009 Snell Avenue, Santa Teresa Blvd, San Jose, CA 95123",,
1,7,0,0,1,-121.83165,37.294,3.29,810928,"635 E Capitol Expy, San Jose, CA 95111",,
1,4,0,0,0,-121.86295,37.22294,3.29,911010,"6484 Camden Ave, San Jose, CA 95120",,
1,5,0,1,1,-121.86209,37.24984,3.19,770804,"936 Blossom Hill Rd, San Jose, CA 95123",,
1,0,1,0,0,-121.81413,37.32631,3.29,901220,"2200 Eastridge Loop, San Jose, CA 95122",,
1,6,0,0,1,-121.95855,37.35218,3.19,890609,"1950 El Camino Real, Santa Clara, CA 95050",,
