town,town_n,state,agent,id_fe,id_cluster,first,n,corp,boat,tons,blt,dyear,dep_mo,arr_mo,ayear,sp,wh,bn,capown,owners,agt_shr,grounds,lost,cap,capexp,capleft,capdied,idle,crew,pacific,atlantic,dcapexp,vesselage,logvesselage,prob,ny,voyagelength,sp_relprice,bn_relprice,output_nb,output_wb,lprod_wb,prod_wb,crewtons,spvoy,ownrs2,logowners
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,anne,222,7,33,7,12,36,800,0,0,,3,,pac,0,swainb,3,0,0,,,1,FALSE,TRUE,26,3.29583686600433,0,FALSE,41,2.0227,0.5682,50972.04,50972.04,1.72278307749984,5.60009228740936,,TRUE,9,1.09861228866811
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,anne,222,7,37,12,6,40,1300,0,0,,3,,pac,0,richmondg,0,0,0,12,,1,FALSE,FALSE,30,3.43398720448515,0,FALSE,30,3.3333,0.6333,136498.635,136498.635,3.02019513002272,20.4952905405405,,TRUE,9,1.09861228866811
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,corinthian,503,22,32,12,6,36,1200,0,0,1,24,,pac,0,grinnells,3,0,0,,,1,FALSE,TRUE,10,2.39789527279837,0,FALSE,42,2.0227,0.5682,76458.06,76458.06,1.28623784580148,3.61914512922465,,TRUE,576,3.17805383034795
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,corinthian,503,22,37,1,3,39,300,3000,0,0,24,,pac,0,gardnerba,2,0,0,7,,1,FALSE,TRUE,15,2.77258872223978,0,FALSE,26,2.9167,0.5,122062.815,122062.815,2.23360436013965,9.33344662792476,,FALSE,576,3.17805383034795
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,corinthian,503,22,39,9,5,42,300,2400,22000,1,24,,ind,0,heathnb,0,0,0,6,,0,FALSE,FALSE,17,2.89037175789616,0,FALSE,32,2.1471,0.6765,95890.095,110773.095,1.92891312599937,6.88202627982107,,FALSE,576,3.17805383034795
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,corinthian,503,22,42,11,4,46,700,2000,6000,,24,,pac,0,easterbrooksgt,0,0,0,6,,1,FALSE,FALSE,20,3.04452243772342,0,FALSE,41,2.6037,1.0074,120411.585,126455.985,1.81348734513484,6.13179387092082,,FALSE,576,3.17805383034795
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,ganges,380,11,32,3,7,35,2700,0,0,0,2,,pac,0,clarktm,0,0,0,,,1,FALSE,FALSE,21,3.09104245335832,0,FALSE,40,2.1538,0.5385,183180.69,183180.69,2.48917761490228,12.0513611842105,,TRUE,4,0.693147180559945
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,ganges,380,11,36,2,10,39,750,1750,0,0,2,,pac,0,harriswp,0,0,1,7,,1,FALSE,FALSE,25,3.25809653802148,1,FALSE,44,2.9167,0.5,124032.0375,124032.0375,2.00393429151298,7.41818406100479,,FALSE,4,0.693147180559945
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,general jackson,329,,32,6,10,35,1400,0,0,0,2,,pac,0,smithr,0,0,0,,,1,FALSE,FALSE,,,0,FALSE,40,2.1538,0.5385,94982.58,94982.58,1.97651158046827,7.21752127659574,,TRUE,4,0.693147180559945
bristol,5,ri,dewolf,dewolf,dewolf,32,0,0,general jackson,329,,36,7,1,39,2000,0,0,0,2,,pac,0,crockersr,0,0,0,9,,1,FALSE,FALSE,,,0,FALSE,30,2.9167,0.5,183752.1,183752.1,2.92408771315368,18.6172340425532,,TRUE,4,0.693147180559945
